signal,label
7.74E+02,0
7.16E+02,0
7.16E+02,0
7.54E+02,0
7.54E+02,0
7.54E+02,0
7.54E+02,0
7.74E+02,0
7.74E+02,0
7.35E+02,0
7.74E+02,0
7.35E+02,0
7.54E+02,0
7.74E+02,0
7.35E+02,0
7.16E+02,0
7.54E+02,0
7.74E+02,0
7.35E+02,0
7.54E+02,0
7.35E+02,0
7.35E+02,0
7.74E+02,0
7.16E+02,0
7.35E+02,0
7.93E+02,0
7.35E+02,0
7.35E+02,0
7.16E+02,0
7.54E+02,0
7.54E+02,0
7.54E+02,0
7.54E+02,0
7.74E+02,0
7.35E+02,0
7.16E+02,0
7.54E+02,0
7.54E+02,0
7.74E+02,0
7.16E+02,0
7.16E+02,0
7.54E+02,0
7.54E+02,0
7.74E+02,0
7.16E+02,0
7.35E+02,0
7.35E+02,0
7.54E+02,0
7.54E+02,0
7.16E+02,0
7.35E+02,0
7.16E+02,0
6.97E+02,0
7.35E+02,0
7.35E+02,0
7.54E+02,0
7.16E+02,0
7.54E+02,0
7.16E+02,0
6.97E+02,0
7.54E+02,0
7.54E+02,0
7.16E+02,0
7.74E+02,0
7.35E+02,0
7.35E+02,0
7.35E+02,0
6.97E+02,0
7.16E+02,0
6.97E+02,0
7.35E+02,0
7.35E+02,0
7.35E+02,0
7.16E+02,0
7.54E+02,0
7.35E+02,0
7.35E+02,0
7.35E+02,0
7.74E+02,0
7.16E+02,0
7.35E+02,0
7.35E+02,0
7.35E+02,0
8.12E+02,0
6.97E+02,0
6.97E+02,0
6.97E+02,0
7.54E+02,0
7.93E+02,0
7.16E+02,0
7.54E+02,0
6.97E+02,0
7.54E+02,0
7.54E+02,0
7.35E+02,0
7.54E+02,0
7.35E+02,0
7.16E+02,0
7.74E+02,0
7.54E+02,0
7.54E+02,0
7.54E+02,0
7.35E+02,0
7.74E+02,0
7.35E+02,0
7.54E+02,0
7.35E+02,0
7.35E+02,0
7.16E+02,0
7.35E+02,0
7.35E+02,0
7.35E+02,0
6.78E+02,0
6.58E+02,0
7.35E+02,0
7.93E+02,0
7.54E+02,0
7.74E+02,0
7.16E+02,0
7.54E+02,0
7.93E+02,0
7.16E+02,0
7.35E+02,0
6.97E+02,0
7.54E+02,0
7.74E+02,0
7.35E+02,0
7.35E+02,0
6.97E+02,0
7.35E+02,0
7.54E+02,0
7.54E+02,0
7.74E+02,0
7.35E+02,0
7.54E+02,0
7.35E+02,0
7.74E+02,0
7.74E+02,0
7.74E+02,0
7.54E+02,0
7.16E+02,0
7.74E+02,0
7.35E+02,0
6.97E+02,0
7.74E+02,0
7.54E+02,0
7.35E+02,0
7.54E+02,0
7.16E+02,0
7.54E+02,0
7.35E+02,0
6.97E+02,0
7.54E+02,0
7.35E+02,0
7.93E+02,0
7.35E+02,0
7.54E+02,0
7.35E+02,0
7.16E+02,0
7.35E+02,0
7.16E+02,0
7.35E+02,0
7.54E+02,0
7.35E+02,0
6.97E+02,0
7.54E+02,0
7.35E+02,0
7.35E+02,0
7.54E+02,0
7.54E+02,0
7.16E+02,0
7.35E+02,0
7.35E+02,0
7.54E+02,0
7.54E+02,0
7.16E+02,0
7.54E+02,0
7.54E+02,0
7.35E+02,0
7.35E+02,0
7.35E+02,0
7.35E+02,0
7.35E+02,0
7.93E+02,0
7.93E+02,0
7.54E+02,0
7.35E+02,0
7.16E+02,0
7.35E+02,0
7.54E+02,0
7.54E+02,0
7.54E+02,0
7.35E+02,0
7.93E+02,0
7.16E+02,0
7.35E+02,0
7.16E+02,0
7.54E+02,0
7.35E+02,0
7.35E+02,0
7.35E+02,0
7.74E+02,0
7.35E+02,0
7.16E+02,0
7.74E+02,0
7.16E+02,0
7.93E+02,0
7.54E+02,0
7.35E+02,0
7.54E+02,0
7.74E+02,0
7.93E+02,0
7.16E+02,0
6.97E+02,0
7.74E+02,0
7.16E+02,0
7.35E+02,0
7.16E+02,0
7.35E+02,0
7.16E+02,0
7.35E+02,0
7.54E+02,0
7.54E+02,0
7.74E+02,0
7.54E+02,0
7.16E+02,0
7.35E+02,0
7.16E+02,0
7.74E+02,0
7.54E+02,0
7.54E+02,0
7.74E+02,0
7.54E+02,0
7.16E+02,0
7.54E+02,0
7.35E+02,0
7.93E+02,0
7.16E+02,0
7.35E+02,0
7.35E+02,0
7.35E+02,0
7.74E+02,0
7.16E+02,0
7.16E+02,0
7.74E+02,0
7.16E+02,0
7.54E+02,0
7.74E+02,0
7.35E+02,0
7.16E+02,0
7.74E+02,0
7.74E+02,0
7.16E+02,0
7.93E+02,0
6.97E+02,0
7.54E+02,0
7.54E+02,0
7.54E+02,0
7.35E+02,0
7.16E+02,0
7.54E+02,0
7.35E+02,0
7.35E+02,0
7.54E+02,0
7.16E+02,0
7.35E+02,0
7.74E+02,0
7.16E+02,0
7.35E+02,0
7.35E+02,0
7.16E+02,0
7.74E+02,0
7.54E+02,0
7.54E+02,0
7.54E+02,0
7.74E+02,0
7.16E+02,0
7.74E+02,0
7.93E+02,0
7.35E+02,0
7.93E+02,0
7.16E+02,0
7.54E+02,0
7.54E+02,0
7.35E+02,0
7.35E+02,0
7.16E+02,0
7.54E+02,0
7.54E+02,0
7.16E+02,0
7.54E+02,0
7.35E+02,0
7.54E+02,0
7.16E+02,0
7.35E+02,0
7.74E+02,0
6.97E+02,0
7.16E+02,0
7.54E+02,0
7.35E+02,0
7.74E+02,0
7.16E+02,0
7.54E+02,0
7.54E+02,0
7.54E+02,0
7.54E+02,0
7.35E+02,0
7.54E+02,0
7.35E+02,0
7.35E+02,0
6.78E+02,0
6.97E+02,0
7.74E+02,0
7.74E+02,0
7.35E+02,0
6.97E+02,0
7.54E+02,0
7.54E+02,0
7.35E+02,0
7.93E+02,0
7.35E+02,0
7.35E+02,0
7.74E+02,0
7.74E+02,0
7.54E+02,0
7.54E+02,0
7.35E+02,0
6.97E+02,0
7.54E+02,0
7.54E+02,0
7.54E+02,0
7.35E+02,0
7.16E+02,0
7.16E+02,0
7.54E+02,0
7.35E+02,0
7.16E+02,0
7.16E+02,0
7.35E+02,0
7.54E+02,0
7.16E+02,0
7.54E+02,0
6.97E+02,0
7.74E+02,0
7.54E+02,0
7.35E+02,0
7.16E+02,0
6.97E+02,0
7.16E+02,0
7.54E+02,0
7.54E+02,0
7.74E+02,0
7.35E+02,0
6.97E+02,0
7.35E+02,0
7.54E+02,0
7.54E+02,0
7.74E+02,0
7.54E+02,0
7.74E+02,0
7.74E+02,0
7.16E+02,0
7.54E+02,0
7.74E+02,0
7.35E+02,0
7.35E+02,0
7.35E+02,0
7.35E+02,0
7.54E+02,0
7.54E+02,0
7.35E+02,0
7.35E+02,0
7.16E+02,0
7.74E+02,0
7.54E+02,0
7.35E+02,0
7.35E+02,0
7.35E+02,0
7.16E+02,0
7.74E+02,0
7.74E+02,0
6.97E+02,0
7.54E+02,0
7.16E+02,0
7.54E+02,0
6.97E+02,0
7.54E+02,0
7.54E+02,0
7.35E+02,0
7.54E+02,0
7.54E+02,0
7.54E+02,0
7.35E+02,0
7.35E+02,0
7.54E+02,0
7.16E+02,0
7.54E+02,0
7.54E+02,0
7.74E+02,0
7.35E+02,0
6.78E+02,0
7.35E+02,0
7.35E+02,0
7.16E+02,0
7.54E+02,0
7.16E+02,0
7.35E+02,0
7.35E+02,0
7.35E+02,0
7.35E+02,0
7.35E+02,0
7.54E+02,0
7.74E+02,0
6.97E+02,0
7.35E+02,0
7.35E+02,0
7.54E+02,0
7.16E+02,0
6.97E+02,0
7.35E+02,0
7.54E+02,0
8.12E+02,0
7.16E+02,0
7.54E+02,0
7.74E+02,0
7.35E+02,0
7.35E+02,0
7.54E+02,0
7.35E+02,0
7.35E+02,0
7.93E+02,0
7.35E+02,0
7.16E+02,0
7.54E+02,0
7.16E+02,0
7.35E+02,0
7.16E+02,0
7.35E+02,0
7.74E+02,0
6.97E+02,0
7.35E+02,0
7.54E+02,0
6.97E+02,0
7.35E+02,0
7.35E+02,0
7.74E+02,0
7.74E+02,0
7.16E+02,0
7.74E+02,0
7.54E+02,0
7.54E+02,0
7.54E+02,0
7.54E+02,0
7.93E+02,0
6.97E+02,0
7.74E+02,0
7.35E+02,0
7.35E+02,0
7.74E+02,0
7.16E+02,0
7.54E+02,0
7.35E+02,0
7.54E+02,0
7.54E+02,0
7.35E+02,0
7.93E+02,0
7.54E+02,0
7.74E+02,0
7.54E+02,0
7.35E+02,0
7.35E+02,0
7.35E+02,0
7.54E+02,0
7.35E+02,0
7.16E+02,0
7.54E+02,0
7.54E+02,0
7.35E+02,0
6.58E+02,0
7.35E+02,0
7.93E+02,0
7.54E+02,0
7.54E+02,0
7.54E+02,0
6.97E+02,0
7.16E+02,0
7.74E+02,0
7.93E+02,0
7.35E+02,0
7.35E+02,0
7.16E+02,0
7.54E+02,0
7.54E+02,0
7.35E+02,0
7.16E+02,0
7.74E+02,0
7.54E+02,0
7.35E+02,0
7.35E+02,0
7.54E+02,0
7.16E+02,0
7.54E+02,0
7.35E+02,0
7.74E+02,0
7.74E+02,0
7.35E+02,0
7.35E+02,0
7.35E+02,0
7.74E+02,0
7.16E+02,0
7.35E+02,0
7.16E+02,0
7.35E+02,0
6.78E+02,0
7.35E+02,0
7.35E+02,0
7.35E+02,0
7.54E+02,0
7.54E+02,0
7.54E+02,0
7.54E+02,0
8.12E+02,0
7.74E+02,0
7.93E+02,0
7.35E+02,0
7.54E+02,0
7.74E+02,0
7.35E+02,0
7.54E+02,0
7.16E+02,0
7.74E+02,0
7.35E+02,0
7.74E+02,0
7.74E+02,0
7.35E+02,0
7.35E+02,0
7.35E+02,0
7.54E+02,0
8.12E+02,0
7.35E+02,0
7.16E+02,0
7.35E+02,0
7.54E+02,0
7.35E+02,0
7.35E+02,0
7.54E+02,0
7.35E+02,0
7.35E+02,0
7.35E+02,0
7.54E+02,0
7.74E+02,0
7.35E+02,0
7.54E+02,0
7.16E+02,0
7.35E+02,0
7.54E+02,0
7.16E+02,0
7.74E+02,0
7.35E+02,0
7.35E+02,0
7.54E+02,0
7.54E+02,0
7.74E+02,0
6.78E+02,0
7.35E+02,0
7.74E+02,0
7.35E+02,0
7.54E+02,0
6.97E+02,0
7.54E+02,0
7.35E+02,0
7.16E+02,0
6.97E+02,0
7.16E+02,0
7.54E+02,0
7.35E+02,0
7.74E+02,0
7.74E+02,0
6.78E+02,0
7.54E+02,0
7.54E+02,0
6.97E+02,0
7.54E+02,0
7.74E+02,0
7.35E+02,0
7.35E+02,0
7.35E+02,0
7.93E+02,0
6.97E+02,0
7.54E+02,0
7.54E+02,0
7.35E+02,0
7.54E+02,0
7.54E+02,0
6.97E+02,0
7.16E+02,0
7.16E+02,0
6.78E+02,0
7.35E+02,0
7.54E+02,0
7.35E+02,0
7.35E+02,0
7.35E+02,0
7.74E+02,0
7.54E+02,0
7.16E+02,0
7.54E+02,0
7.16E+02,0
7.35E+02,0
7.54E+02,0
7.35E+02,0
7.16E+02,0
7.54E+02,0
7.54E+02,0
7.74E+02,0
7.35E+02,0
7.35E+02,0
7.54E+02,0
7.16E+02,0
7.54E+02,0
7.54E+02,0
7.35E+02,0
7.35E+02,0
7.74E+02,0
7.35E+02,0
7.54E+02,0
7.35E+02,0
7.93E+02,0
7.35E+02,0
7.54E+02,0
7.35E+02,0
7.16E+02,0
7.16E+02,0
7.74E+02,0
7.74E+02,0
7.35E+02,0
7.35E+02,0
7.35E+02,0
7.16E+02,0
7.74E+02,0
7.35E+02,0
7.54E+02,0
7.16E+02,0
7.35E+02,0
7.54E+02,0
7.16E+02,0
7.74E+02,0
7.54E+02,0
6.97E+02,0
7.16E+02,0
7.74E+02,0
7.54E+02,0
7.16E+02,0
7.35E+02,0
7.35E+02,0
7.35E+02,0
7.74E+02,0
7.35E+02,0
7.35E+02,0
7.54E+02,0
7.93E+02,0
7.54E+02,0
7.35E+02,0
7.54E+02,0
7.35E+02,0
7.54E+02,0
7.74E+02,0
6.97E+02,0
7.35E+02,0
7.54E+02,0
7.16E+02,0
7.35E+02,0
7.16E+02,0
7.54E+02,0
6.78E+02,0
7.16E+02,0
7.74E+02,0
7.74E+02,0
7.74E+02,0
7.16E+02,0
7.74E+02,0
7.16E+02,0
7.74E+02,0
7.16E+02,0
7.35E+02,0
6.97E+02,0
7.54E+02,0
7.35E+02,0
7.54E+02,0
7.35E+02,0
7.35E+02,0
7.74E+02,0
7.16E+02,0
7.54E+02,0
7.35E+02,0
7.35E+02,0
7.74E+02,0
7.16E+02,0
7.54E+02,0
7.54E+02,0
7.54E+02,0
7.74E+02,0
7.35E+02,0
7.54E+02,0
6.97E+02,0
7.35E+02,0
7.54E+02,0
7.74E+02,0
7.35E+02,0
7.35E+02,0
7.54E+02,0
7.35E+02,0
7.35E+02,0
7.35E+02,0
7.54E+02,0
7.54E+02,0
6.97E+02,0
7.35E+02,0
7.35E+02,0
7.35E+02,0
7.54E+02,0
7.35E+02,0
7.35E+02,0
7.54E+02,0
7.16E+02,0
7.35E+02,0
7.16E+02,0
7.74E+02,0
7.93E+02,0
7.74E+02,0
7.74E+02,0
7.16E+02,0
7.16E+02,0
7.74E+02,0
7.74E+02,0
7.35E+02,0
7.54E+02,0
7.54E+02,0
7.16E+02,0
7.16E+02,0
7.16E+02,0
7.16E+02,0
7.93E+02,0
7.16E+02,0
7.16E+02,0
7.35E+02,0
7.35E+02,0
7.54E+02,0
7.16E+02,0
7.54E+02,0
7.54E+02,0
7.54E+02,0
7.35E+02,0
7.74E+02,0
7.54E+02,0
7.16E+02,0
7.35E+02,0
7.74E+02,0
7.16E+02,0
7.35E+02,0
7.35E+02,0
7.35E+02,0
7.35E+02,0
7.16E+02,0
7.54E+02,0
7.54E+02,0
7.35E+02,0
7.74E+02,0
7.35E+02,0
7.93E+02,0
7.35E+02,0
7.16E+02,0
7.54E+02,0
7.54E+02,0
7.16E+02,0
7.54E+02,0
7.74E+02,0
7.35E+02,0
7.16E+02,0
7.54E+02,0
7.54E+02,0
7.93E+02,0
7.35E+02,0
7.35E+02,0
7.93E+02,0
7.54E+02,0
7.54E+02,0
7.54E+02,0
7.35E+02,0
7.74E+02,0
7.35E+02,0
7.54E+02,0
7.54E+02,0
7.16E+02,0
7.16E+02,0
7.16E+02,0
7.35E+02,0
7.54E+02,0
7.35E+02,0
7.16E+02,0
7.54E+02,0
7.74E+02,0
7.54E+02,0
7.54E+02,0
7.74E+02,0
7.16E+02,0
7.35E+02,0
7.16E+02,0
7.54E+02,0
7.16E+02,0
7.35E+02,0
6.97E+02,0
7.35E+02,0
7.35E+02,0
7.54E+02,0
7.54E+02,0
7.74E+02,0
7.74E+02,0
7.35E+02,0
7.16E+02,0
7.35E+02,0
7.54E+02,0
7.54E+02,0
7.16E+02,0
7.54E+02,0
7.54E+02,0
7.54E+02,0
7.54E+02,0
7.35E+02,0
7.35E+02,0
6.97E+02,0
7.35E+02,0
7.54E+02,0
7.35E+02,0
7.54E+02,0
7.54E+02,0
7.16E+02,0
7.74E+02,0
7.54E+02,0
7.35E+02,0
7.54E+02,0
7.54E+02,0
7.93E+02,0
7.35E+02,0
7.74E+02,0
7.54E+02,0
6.97E+02,0
7.74E+02,0
7.54E+02,0
7.35E+02,0
7.16E+02,0
7.16E+02,0
7.35E+02,0
7.54E+02,0
7.35E+02,0
7.16E+02,0
7.54E+02,0
7.54E+02,0
7.93E+02,0
7.74E+02,0
6.97E+02,0
7.54E+02,0
7.16E+02,0
7.74E+02,0
7.35E+02,0
7.74E+02,0
7.74E+02,0
6.97E+02,0
7.54E+02,0
7.54E+02,0
7.35E+02,0
7.54E+02,0
7.16E+02,0
7.35E+02,0
7.35E+02,0
7.35E+02,0
7.35E+02,0
7.16E+02,0
7.35E+02,0
7.35E+02,0
7.74E+02,0
7.74E+02,0
7.35E+02,0
7.54E+02,0
7.16E+02,0
7.35E+02,0
7.74E+02,0
7.35E+02,0
7.35E+02,0
7.74E+02,0
7.16E+02,0
7.35E+02,0
7.74E+02,0
7.35E+02,0
7.54E+02,0
7.35E+02,0
7.54E+02,0
6.97E+02,0
7.54E+02,0
7.16E+02,0
7.54E+02,0
6.97E+02,0
7.54E+02,0
7.74E+02,0
7.16E+02,0
7.35E+02,0
7.35E+02,0
7.54E+02,0
7.16E+02,0
7.16E+02,0
7.35E+02,0
7.35E+02,0
7.35E+02,0
7.35E+02,0
7.35E+02,0
7.35E+02,0
7.35E+02,0
7.35E+02,0
7.16E+02,0
7.16E+02,0
7.54E+02,0
7.54E+02,0
7.35E+02,0
7.16E+02,0
7.35E+02,0
7.74E+02,0
7.35E+02,0
7.35E+02,0
7.35E+02,0
6.78E+02,0
7.35E+02,0
7.74E+02,0
7.16E+02,0
7.35E+02,0
7.35E+02,0
7.35E+02,0
7.54E+02,0
7.54E+02,0
7.35E+02,0
7.54E+02,0
7.35E+02,0
7.35E+02,0
7.93E+02,0
7.74E+02,0
7.54E+02,0
7.35E+02,0
7.54E+02,0
7.35E+02,0
7.35E+02,0
7.35E+02,0
7.54E+02,0
7.35E+02,0
7.16E+02,0
7.54E+02,0
7.74E+02,0
7.35E+02,0
7.35E+02,0
7.16E+02,0
7.54E+02,0
7.54E+02,0
7.35E+02,0
7.54E+02,0
7.74E+02,0
7.16E+02,0
7.54E+02,0
7.35E+02,0
7.35E+02,0
7.16E+02,0
7.35E+02,0
7.54E+02,0
7.54E+02,0
7.16E+02,0
7.16E+02,0
7.54E+02,0
7.54E+02,0
7.54E+02,0
7.54E+02,0
7.54E+02,0
7.74E+02,0
7.54E+02,0
7.54E+02,0
7.35E+02,0
7.35E+02,0
7.54E+02,0
7.54E+02,0
7.16E+02,0
6.78E+02,0
7.54E+02,0
7.16E+02,0
6.97E+02,0
7.35E+02,0
7.54E+02,0
7.54E+02,0
7.35E+02,0
7.54E+02,0
7.16E+02,0
7.35E+02,0
7.54E+02,0
7.35E+02,0
7.54E+02,0
7.74E+02,0
7.35E+02,0
7.74E+02,0
7.16E+02,0
7.16E+02,0
7.54E+02,0
7.35E+02,0
7.54E+02,0
6.97E+02,0
7.35E+02,0
7.74E+02,0
7.16E+02,0
7.35E+02,0
7.16E+02,0
7.16E+02,0
7.54E+02,0
7.74E+02,0
8.12E+02,0
7.16E+02,0
7.54E+02,0
7.74E+02,0
7.16E+02,0
7.74E+02,0
7.16E+02,0
7.54E+02,0
7.16E+02,0
7.35E+02,0
8.12E+02,0
7.35E+02,0
7.93E+02,0
7.16E+02,0
7.35E+02,0
7.74E+02,0
7.16E+02,0
7.16E+02,0
7.16E+02,0
7.74E+02,0
7.35E+02,0
7.35E+02,0
7.16E+02,0
7.35E+02,0
7.54E+02,0
7.54E+02,0
7.54E+02,0
7.93E+02,0
7.54E+02,0
7.93E+02,0
7.54E+02,0
7.35E+02,0
7.35E+02,0
7.16E+02,0
7.35E+02,0
7.35E+02,0
7.16E+02,0
7.74E+02,0
7.35E+02,0
7.16E+02,0
7.54E+02,0
7.54E+02,0
7.16E+02,0
7.35E+02,0
7.74E+02,0
7.54E+02,0
7.35E+02,0
7.54E+02,0
7.35E+02,0
7.54E+02,0
7.35E+02,0
7.35E+02,0
7.54E+02,0
6.97E+02,0
7.54E+02,0
7.16E+02,0
7.35E+02,0
7.54E+02,0
7.74E+02,0
6.97E+02,0
6.97E+02,0
7.93E+02,0
7.54E+02,0
7.54E+02,0
7.54E+02,0
7.93E+02,0
7.54E+02,0
7.35E+02,0
7.54E+02,0
7.16E+02,0
7.16E+02,0
7.35E+02,0
7.74E+02,0
7.35E+02,0
7.35E+02,0
6.97E+02,0
7.16E+02,0
7.16E+02,0
7.35E+02,0
7.35E+02,0
7.16E+02,0
7.16E+02,0
7.74E+02,0
7.35E+02,0
7.54E+02,0
7.54E+02,0
7.54E+02,0
7.54E+02,0
7.35E+02,0
7.93E+02,0
7.35E+02,0
7.74E+02,0
7.35E+02,0
7.74E+02,0
7.35E+02,0
7.54E+02,0
7.54E+02,0
7.54E+02,0
7.16E+02,0
7.93E+02,0
7.74E+02,0
7.54E+02,0
7.54E+02,0
7.35E+02,0
7.54E+02,0
7.54E+02,0
7.74E+02,0
7.54E+02,0
7.54E+02,0
7.74E+02,0
6.97E+02,0
7.16E+02,0
7.16E+02,0
7.16E+02,0
7.74E+02,0
7.35E+02,0
7.35E+02,0
7.16E+02,0
7.35E+02,0
7.93E+02,0
7.16E+02,0
7.54E+02,0
7.16E+02,0
7.35E+02,0
7.16E+02,0
7.54E+02,0
7.74E+02,0
7.16E+02,0
7.54E+02,0
7.74E+02,0
7.54E+02,0
7.54E+02,0
6.78E+02,0
7.54E+02,0
7.16E+02,0
7.54E+02,0
7.93E+02,0
6.97E+02,0
7.16E+02,0
7.74E+02,0
7.93E+02,0
7.93E+02,0
7.74E+02,0
7.35E+02,0
7.54E+02,0
7.54E+02,0
7.74E+02,0
7.35E+02,0
7.16E+02,0
6.78E+02,0
7.35E+02,0
7.93E+02,0
7.16E+02,0
7.54E+02,0
7.16E+02,0
7.16E+02,0
7.54E+02,0
7.74E+02,0
7.35E+02,0
7.35E+02,0
7.35E+02,0
7.54E+02,0
7.74E+02,0
7.74E+02,0
7.74E+02,0
7.54E+02,0
6.97E+02,0
7.35E+02,0
7.54E+02,0
7.35E+02,0
7.54E+02,0
7.16E+02,0
7.54E+02,0
7.54E+02,0
7.16E+02,0
7.35E+02,0
7.74E+02,0
7.54E+02,0
7.74E+02,0
7.74E+02,0
7.35E+02,0
7.16E+02,0
